건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus,카페수,헬스장수,학원수,기타학원수,독서실수,사우나수
강서센트레빌3차,서울특별시 강서구 방화동 893번지,0,0,1,0,0,0,0,0,강서구,방화동,60833.0,0.0443509279502901,0.3334867588315552,0.1101540282412506,0.3013167195436687,31300.0,0.4803833865814697,0.2459424920127795,0.2736741214057508,135.0,60.0,112.0,162.0,16.0,19.0
강서한강자이,서울특별시 강서구 가양동 1500번지,0,1,1,1,0,0,0,0,강서구,가양동,41559.0,0.0450684568926105,0.3677903703168989,0.0996655357443634,0.3131451671118169,22269.0,0.4943194575418743,0.2618887242354843,0.2437918182226413,257.0,106.0,37.0,194.0,6.0,44.0
강서힐스테이트,서울특별시 강서구 화곡동 1165번지,0,1,1,1,0,1,0,0,강서구,화곡동,211821.0,0.0439144371898914,0.2711865206943598,0.1474074808446754,0.3204167669872203,107821.0,0.4762801309577911,0.2404633605698333,0.2832565084723755,220.0,132.0,155.0,242.0,28.0,56.0
개나리 래미안,서울특별시 강남구 역삼동 754번지,0,0,0,0,1,0,0,0,강남구,역삼동,68953.0,0.0400417675808159,0.152857743680478,0.1558742911838498,0.4017664206053398,39460.0,0.6150532184490624,0.1444247339077546,0.2405220476431829,570.0,261.0,197.0,631.0,40.0,54.0
개나리SK뷰,서울특별시 강남구 역삼동 716-1번지,0,0,1,1,0,0,0,0,강남구,역삼동,68953.0,0.0400417675808159,0.152857743680478,0.1558742911838498,0.4017664206053398,39460.0,0.6150532184490624,0.1444247339077546,0.2405220476431829,570.0,261.0,197.0,631.0,40.0,54.0
개봉동 403-84 도시형생활주택,서울특별시 구로구 개봉동 403-84번지,0,0,0,0,0,0,0,0,구로구,개봉동,81213.0,0.0519621242904461,0.3299841158435226,0.1092435940058857,0.2799921194882592,35932.0,0.3347990649003673,0.2854836914171212,0.3797172436825114,91.0,40.0,91.0,120.0,13.0,20.0
개봉동 역세권 청년주택,서울특별시 구로구 개봉동 403-29번지,1,1,0,0,0,0,1,0,구로구,개봉동,81213.0,0.0519621242904461,0.3299841158435226,0.1092435940058857,0.2799921194882592,35932.0,0.3347990649003673,0.2854836914171212,0.3797172436825114,91.0,40.0,91.0,120.0,13.0,20.0
개봉역 림괄지역주택조합 공동주택(가칭),서울특별시 구로구 개봉동 199-4번지,0,1,1,1,0,0,0,0,구로구,개봉동,81213.0,0.0519621242904461,0.3299841158435226,0.1092435940058857,0.2799921194882592,35932.0,0.3347990649003673,0.2854836914171212,0.3797172436825114,91.0,40.0,91.0,120.0,13.0,20.0
개봉제1주택재개발아파트,서울특별시 구로구 개봉동 138-2번지,0,0,1,1,0,0,0,0,구로구,개봉동,81213.0,0.0519621242904461,0.3299841158435226,0.1092435940058857,0.2799921194882592,35932.0,0.3347990649003673,0.2854836914171212,0.3797172436825114,91.0,40.0,91.0,120.0,13.0,20.0
개포 더샵 트리에,서울특별시 강남구 개포동 651-1번지,0,0,1,1,1,0,0,0,강남구,개포동,89148.0,0.0747857495400906,0.2448961277874994,0.1042199488491048,0.3097882173464351,35453.0,0.2666064931035455,0.2441542323639748,0.4892392745324796,72.0,55.0,120.0,195.0,18.0,11.0
개포 럭키아파트,서울특별시 강남구 도곡동 462번지,1,0,1,1,0,0,1,1,강남구,도곡동,52224.0,0.0707912071078431,0.2258157169117647,0.1094898897058823,0.2923751531862745,19655.0,0.2426863393538539,0.2093614856270669,0.5479521750190791,101.0,45.0,80.0,162.0,16.0,14.0
개포자이 프레지던스,서울특별시 강남구 개포동 189번지,1,1,1,1,0,1,1,0,강남구,개포동,89148.0,0.0747857495400906,0.2448961277874994,0.1042199488491048,0.3097882173464351,35453.0,0.2666064931035455,0.2441542323639748,0.4892392745324796,72.0,55.0,120.0,195.0,18.0,11.0
개포주공3단지주택재건축정비사업,서울특별시 강남구 개포동 138번지,0,0,1,0,0,0,0,0,강남구,개포동,89148.0,0.0747857495400906,0.2448961277874994,0.1042199488491048,0.3097882173464351,35453.0,0.2666064931035455,0.2441542323639748,0.4892392745324796,72.0,55.0,120.0,195.0,18.0,11.0
거여12-1 행복주택,서울특별시 송파구 거여동 12-1번지,0,0,1,0,0,0,0,0,송파구,거여동,52332.0,0.0908430788045555,0.2402736375449056,0.1089199724833753,0.3061415577466941,21322.0,0.3127286370884532,0.2381108714004314,0.4491604915111152,36.0,30.0,47.0,66.0,8.0,6.0
거여동 26-1번지 아파트,서울특별시 송파구 거여동 26-1번지,0,1,1,0,0,0,0,0,송파구,거여동,52332.0,0.0908430788045555,0.2402736375449056,0.1089199724833753,0.3061415577466941,21322.0,0.3127286370884532,0.2381108714004314,0.4491604915111152,36.0,30.0,47.0,66.0,8.0,6.0
거여리본타운,서울특별시 송파구 거여동 12-1번지,0,0,1,0,0,0,0,0,송파구,거여동,52332.0,0.0908430788045555,0.2402736375449056,0.1089199724833753,0.3061415577466941,21322.0,0.3127286370884532,0.2381108714004314,0.4491604915111152,36.0,30.0,47.0,66.0,8.0,6.0
건대입구역 역세권 청년주택,서울특별시 광진구 자양동 8-8번지,0,0,0,0,0,0,0,0,광진구,자양동,91114.0,0.04685339245341,0.2736901025089448,0.1474745922690256,0.3048378953838049,44985.0,0.4590419028565077,0.2289652106257641,0.3119928865177281,193.0,83.0,104.0,221.0,25.0,28.0
경남 아너스빌,서울특별시 은평구 구산동 224번지,0,0,0,0,1,0,0,0,은평구,구산동,30869.0,0.0366386990184327,0.3145550552334056,0.1293530726618938,0.2590624898765752,13499.0,0.3692125342617972,0.2637232387584265,0.3670642269797762,25.0,10.0,49.0,37.0,5.0,1.0
경남아너스빌,서울특별시 구로구 구로동 122-1번지,0,0,1,1,0,0,0,0,구로구,구로동,111925.0,0.0439222693768148,0.287076167076167,0.1435782890328344,0.3121733303551485,60012.0,0.523628607611811,0.2224721722322202,0.2538992201559688,312.0,128.0,105.0,278.0,18.0,54.0
경로당,서울특별시 강남구 개포동 12번지,0,0,0,1,0,0,0,0,강남구,개포동,89148.0,0.0747857495400906,0.2448961277874994,0.1042199488491048,0.3097882173464351,35453.0,0.2666064931035455,0.2441542323639748,0.4892392745324796,72.0,55.0,120.0,195.0,18.0,11.0
경희궁 롯데캐슬,서울특별시 종로구 무악동 46번지,0,0,1,1,0,0,0,0,종로구,무악동,7811.0,0.06375624119831,0.274740750224043,0.1013954679298425,0.2627064396364102,2986.0,0.2357669122572002,0.2555257870060281,0.5087073007367716,10.0,5.0,11.0,8.0,3.0,0.0
고척3구역 주택재개발 아파트,서울특별시 구로구 고척동 155-2번지,0,1,1,1,0,0,0,0,구로구,고척동,51714.0,0.0560776578876126,0.2939629500715474,0.117743744440577,0.2919905634837761,23066.0,0.3533772652388797,0.2711783577560045,0.3754443770051157,64.0,51.0,81.0,97.0,11.0,8.0
고척동 산업인 아파트 주택 재건축 정비사업,서울특별시 구로구 고척동 57-9번지,0,1,1,1,0,0,0,0,구로구,고척동,51714.0,0.0560776578876126,0.2939629500715474,0.117743744440577,0.2919905634837761,23066.0,0.3533772652388797,0.2711783577560045,0.3754443770051157,64.0,51.0,81.0,97.0,11.0,8.0
고척동 삼익아파트,서울특별시 구로구 고척동 238-5번지,0,0,0,0,1,0,0,0,구로구,고척동,51714.0,0.0560776578876126,0.2939629500715474,0.117743744440577,0.2919905634837761,23066.0,0.3533772652388797,0.2711783577560045,0.3754443770051157,64.0,51.0,81.0,97.0,11.0,8.0
고척동 어르신안심주택,서울특별시 구로구 고척동 62-1번지,1,0,0,0,0,1,1,0,구로구,고척동,51714.0,0.0560776578876126,0.2939629500715474,0.117743744440577,0.2919905634837761,23066.0,0.3533772652388797,0.2711783577560045,0.3754443770051157,64.0,51.0,81.0,97.0,11.0,8.0
고척아이파크,서울특별시 구로구 고척동 351번지,1,1,1,1,0,0,1,1,구로구,고척동,51714.0,0.0560776578876126,0.2939629500715474,0.117743744440577,0.2919905634837761,23066.0,0.3533772652388797,0.2711783577560045,0.3754443770051157,64.0,51.0,81.0,97.0,11.0,8.0
