건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus
광성연립,서울특별시 영등포구 당산동4가 74번지,0,0,1,0,0,0,0,0,영등포구,당산동4가,,0.05296985364680829,0.2973977912759866,0.12995253826098144,0.29722079976855054,,0.45958235131892344,0.23634119916207605,0.3040764495190005
광성연립재건축아파트,서울특별시 강서구 방화동 553-3번지,0,0,0,0,0,0,0,0,강서구,방화동,60833.0,0.04435092795029014,0.33348675883155526,0.11015402824125063,0.30131671954366873,31300.0,0.4803833865814697,0.24594249201277954,0.2736741214057508
광장자이아파트,서울특별시 광진구 광장동 581번지,0,0,1,1,0,0,0,0,광진구,광장동,33554.0,0.07072182154139596,0.18754842939738928,0.11110448828753651,0.2962985039041545,11863.0,0.19767343842198432,0.17954986091207958,0.6227767006659362
광장힐스테이트,서울특별시 광진구 광장동 427번지,0,0,1,1,0,0,0,0,광진구,광장동,33554.0,0.07072182154139596,0.18754842939738928,0.11110448828753651,0.2962985039041545,11863.0,0.19767343842198432,0.17954986091207958,0.6227767006659362
광진 파크 프라이빗,서울특별시 광진구 구의동 204-3번지,0,0,0,0,1,0,0,0,광진구,구의동,75353.0,0.04624898809602803,0.25034172494791185,0.15472509389141773,0.311971653417913,36702.0,0.4548525965887418,0.22197700397798484,0.3231703994332734
광진구 화양동 32-12 가로주택정비사업 아파트,서울특별시 광진구 화양동 32-12번지,0,0,0,0,0,0,0,0,광진구,화양동,22629.0,0.012240929780370322,0.14225109372928543,0.44071766317557115,0.29727341022581644,18011.0,0.8293820443062573,0.10582421853311864,0.06479373716062406
광진스위트엠 아파트,서울특별시 광진구 화양동 499-18번지,0,0,0,0,0,0,0,0,광진구,화양동,22629.0,0.012240929780370322,0.14225109372928543,0.44071766317557115,0.29727341022581644,18011.0,0.8293820443062573,0.10582421853311864,0.06479373716062406
광진하우스토리 한강,서울특별시 광진구 자양동 813번지,0,0,1,0,0,0,0,0,광진구,자양동,91114.0,0.04685339245341001,0.2736901025089448,0.14747459226902562,0.3048378953838049,44985.0,0.4590419028565077,0.22896521062576414,0.3119928865177281
구로구 고척동 아파트,서울특별시 구로구 고척동 156-18번지,0,0,1,1,0,0,0,0,구로구,고척동,51714.0,0.05607765788761264,0.2939629500715474,0.11774374444057702,0.29199056348377617,23066.0,0.35337726523887975,0.2711783577560045,0.37544437700511574
구로동440번지일대(보광아파트)재건축정비사업,서울특별시 구로구 구로동 440번지,0,1,1,1,1,1,0,0,구로구,구로동,111925.0,0.04392226937681483,0.28707616707616707,0.14357828903283448,0.31217333035514855,60012.0,0.523628607611811,0.2224721722322202,0.25389922015596883
구로지웰,서울특별시 구로구 구로동 329-27번지,0,0,1,1,0,0,0,0,구로구,구로동,111925.0,0.04392226937681483,0.28707616707616707,0.14357828903283448,0.31217333035514855,60012.0,0.523628607611811,0.2224721722322202,0.25389922015596883
